name,adress,distance_km,Price per Night,Distance,Cleanliness,Safety,Amenities,Links
Hotel Jardin Bern,"Militarstrasse 38, Bern, 3014",1.469426986,6,8.5,9,9,6,"https://www.google.com/maps?q=46.958952,7.4578076"
ibis budget Bern Expo,"Guisanplatz 4, Bern, 3014",1.772579698,9,8.2,8,8,4,"https://www.google.com/maps?q=46.9586496,7.4643305"
Arabelle,"Mittelstrasse 6, Bern, 3012",1.264817299,6,8.7,8,9,5,"https://www.google.com/maps?q=46.953739,7.4326538"
Pele Mele,"Altenbergstrasse 4, Bern, 3013",0.940478819,7,9.1,7,9,4,"https://www.google.com/maps?q=46.9500345,7.4589913"
Ambassador & SPA,"Seftigenstrasse 99, Bern, 3007",1.611212644,4,8.4,9,9,9,"https://www.google.com/maps?q=46.9343346,7.4399504"
Ibis Styles,"Zieglerstrasse 66, Bern, 3007",1.423077489,6,8.6,8,9,6,"https://www.google.com/maps?q=46.9423827,7.430204"
La Pergola,"Belpstrasse 43, Bern, 3007",1.23123726,6,8.8,8,9,5,"https://www.google.com/maps?q=46.943034,7.4325447"
Stay KooooK Bern City,"Zeughausgasse 28, Bern, 3011",0.226838702,7,9.8,9,9,6,"https://www.google.com/maps?q=46.9492876,7.4446885"
Hotel Bern,"Zeughausgasse 9, Bern, 3011",0.091804291,4,9.9,9,9,7,"https://www.google.com/maps?q=46.9486987,7.4463572"
Nydeck,"Gerechtigkeitsgasse 1, Bern, 3011",0.663098722,5,9.3,8,9,5,"https://www.google.com/maps?q=46.9485384,7.4556746"
ibis Bern Expo,"Guisanplatz 4, Bern, 3014",1.753348565,7,8.2,8,8,5,"https://www.google.com/maps?q=46.9585241,7.4641555"
Novotel Bern Expo,"Guisanplatz 2, Bern, 3014",1.757920434,5,8.2,9,9,8,"https://www.google.com/maps?q=46.9587487,7.4639379"
Swissotel Kursaal Bern,"Kornhausstrasse 3, Bern, 3013",0.592802757,3,9.4,9,9,9,"https://www.google.com/maps?q=46.9531293,7.4491287"
Waldhorn,"Waldhoheweg 2, Bern, 3013",1.029907595,6,9,9,9,5,"https://www.google.com/maps?q=46.9562563,7.4531371"
Marthahaus,"Wyttenbachstrasse 22a, Bern, 3013",0.797433796,8,9.2,8,9,4,"https://www.google.com/maps?q=46.9551329,7.4481076"
Kreuz,"Zeughausgasse 41, Bern, 3011",0.211877176,5,9.8,8,9,6,"https://www.google.com/maps?q=46.9488838,7.4445342"
National,"Hirschengraben 24, Bern, 3011",0.783166146,6,9.2,8,9,5,"https://www.google.com/maps?q=46.9460693,7.4371068"
NH Bern The Bristol,"Schauplatzgasse 10, Bern, 3011",0.34562346,4,9.7,9,9,7,"https://www.google.com/maps?q=46.947538,7.4425105"
Ador,"Laupenstrasse 15, Bern, 3008",0.888688501,5,9.1,8,9,6,"https://www.google.com/maps?q=46.9470831,7.4354038"
Schweizerhof,"Bahnhofplatz 11, Bern, 3011",0.461991139,1,9.5,10,10,10,"https://www.google.com/maps?q=46.9488149,7.4410493"
Savoy,"Neuengasse 26, Bern, 3011",0.39581268,4,9.6,9,9,6,"https://www.google.com/maps?q=46.9491447,7.4420768"
City,"Bubenbergplatz 7, Bern, 3011",0.552534886,5,9.4,8,8,5,"https://www.google.com/maps?q=46.9472071,7.4398352"
Belle Epoque,"Gerechtigkeitsgasse 18, Bern, 3011",0.640704633,3,9.4,9,9,7,"https://www.google.com/maps?q=46.9488337,7.4553275"
Baren am Bundesplatz,"Schauplatzgasse 4, Bern, 3011",0.298295302,4,9.7,9,9,6,"https://www.google.com/maps?q=46.9475154,7.4431462"
Bahnhof Sud,"Bumplizstrasse 189, Bern, 3018",4.061429435,8,5.9,8,8,4,"https://www.google.com/maps?q=46.9379428,7.3957173"
Goldener Schlussel,"Rathausgasse 72, Bern, 3011",0.150661714,5,9.8,8,9,5,"https://www.google.com/maps?q=46.9486884,7.4487047"
Baren Obergittigen,"Matzenriedstrasse 35, Bern, 3019",7.473880364,6,2.5,8,8,5,"https://www.google.com/maps?q=46.9338241,7.351047"
Bellevue Palace,"Kochergasse 3-5, Bern, 3011",0.16493298,1,9.8,10,10,10,"https://www.google.com/maps?q=46.9465303,7.446704"
Innere Enge,"Engestrasse 54, Bern, 3012",1.568183964,3,8.4,9,9,8,"https://www.google.com/maps?q=46.9611167,7.4394202"
Zollhaus,"Grosser Muristalden 2, Bern, 3006",0.939766246,6,9.1,8,9,5,"https://www.google.com/maps?q=46.9483156,7.4593357"
prizeotel Bern-City,"Viktoriastrasse 21, Bern, 3013",1.00193167,6,9,9,8,6,"https://www.google.com/maps?q=46.953323,7.4576207"
Moxy Bern Expo,"Trusselstrasse 4, Bern, 3014",2.625251068,6,7.4,9,8,6,"https://www.google.com/maps?q=46.968285,7.4646584"
Los Lorentes,"Murtenstrasse 147, Bern, 3008",2.975109472,7,7,9,8,6,"https://www.google.com/maps?q=46.9485985,7.4079301"
Alpenblick,"Kasernenstrasse 29, Bern, 3013",1.252557005,5,8.7,9,9,6,"https://www.google.com/maps?q=46.9569107,7.4570699"
Akomo Bern,"Aarbergergasse None, Bern, 3011",0.451047395,6,9.5,9,9,5,"https://www.google.com/maps?q=46.9496681,7.4415991"
Evi's Home hotel,"Stauffacherstrasse None, Bern, 3014",2.067157001,7,7.9,9,9,6,"https://www.google.com/maps?q=46.9656997,7.4553234"
Il Momento,"Galgenfeldweg None, Bern, 3006",1.993394084,7,8,9,9,5,"https://www.google.com/maps?q=46.9538943,7.4717304"
