name,adress,distance_km,Distance,medicine availability,waiting time,service quality,emergency availability,,Link
Laggasse Apotheke,"Langgassstrasse None, Bern, 3012",1.223662961,8.8,8,7,10,4,,"https://www.google.com/maps?q=46.9531766,7.4328144"
Volz,"Zytgloggelaube None, Bern, 3011",0.082667568,9.9,6,7,10,3,,"https://www.google.com/maps?q=46.9481155,7.4480727"
Kirchenfeld Apotheke,"Thunstrasse 15, Bern, 3005",0.666472575,9.3,8,9,10,4,,"https://www.google.com/maps?q=46.9430736,7.4519886"
Eggholzli Apotheke,"Muristrasse 168, Bern, 3006",2.538102582,7.5,6,9,9,2,,"https://www.google.com/maps?q=46.9367745,7.4760279"
EggholziApotheke,"Eggholzlistrasse None, Bern, 3006",2.540965958,7.5,7,8,9,3,,"https://www.google.com/maps?q=46.936784,7.4760789"
Jupiter Apotheke,"Jupiterstrasse 15, Bern, 3015",2.756550346,7.2,6,7,9,3,,"https://www.google.com/maps?q=46.9397711,7.4811539"
Freudenberg-Apotheke,"Giacomettistrasse 15, Bern, 3006",1.972807849,8,6,7,8,4,,"https://www.google.com/maps?q=46.9453968,7.4726328"
Breitfeld,"Scheibenstrasse None, Bern, 3014",1.495630409,8.5,8,9,9,4,,"https://www.google.com/maps?q=46.9605349,7.4541359"
Jura,"Breitenrainplatz None, Bern, 3013",1.344068845,8.7,7,8,10,3,,"https://www.google.com/maps?q=46.9589286,7.4545518"
TopPharm,"Nordring None, Bern, 3013",1.109975409,8.9,8,8,7,6,,"https://www.google.com/maps?q=46.957984,7.447145"
Coop Vitality,"Papiermuhlestrasse 85, Bern, 3014",2.162500168,7.8,8,8,9,4,,"https://www.google.com/maps?q=46.9636219,7.463928"
Unitobler,"Neufeldstrasse None, Bern, 3012",1.507032789,8.5,6,9,9,2,,"https://www.google.com/maps?q=46.9550919,7.4301283"
Eiger,"Belpstrasse None, Bern, 3007",1.297904691,8.7,7,8,9,2,,"https://www.google.com/maps?q=46.9430061,7.4315905"
Weissenbuhl-Apotheke,"Seftigenstrasse None, Bern, 3007",1.657623442,8.3,7,7,9,4,,"https://www.google.com/maps?q=46.9367572,7.4326991"
TopPharm,"Kreuzgasse None, Bern, 3011",0.395518857,9.6,9,8,7,6,,"https://www.google.com/maps?q=46.9481671,7.4521896"
Friedens-Apotheke,"Pestalozzistrasse None, Bern, 3007",1.899920449,8.1,8,8,8,3,,"https://www.google.com/maps?q=46.9408831,7.424312"
Schloss-Apotheke,"Konizstrasse 3, Bern, 3008",1.96461613,8,7,8,9,3,,"https://www.google.com/maps?q=46.9443709,7.4217447"
Linden Apotheke,"Freiburgstrasse None, Bern, 3010",1.501508945,8.5,7,8,8,4,,"https://www.google.com/maps?q=46.947981,7.427277"
Zahringer-Apotheke Ballinari,"Gesellschaftsstrasse 36, Bern, 3012",1.186194281,8.8,7,8,9,3,,"https://www.google.com/maps?q=46.9541414,7.4342577"
Baren,"Hotelgasse None, Bern, 3011",0.072700033,9.9,7,8,10,4,,"https://www.google.com/maps?q=46.9478697,7.4479358"
Bumpliz-Apotheke & Drogerie,"Keltenstrasse None, Bern, 3018",4.146758954,5.9,9,7,9,4,,"https://www.google.com/maps?q=46.9417736,7.3932977"
Amavita,"Storchengasschen None, Bern, 3011",0.378204724,9.6,9,6,7,5,,"https://www.google.com/maps?q=46.9475139,7.4420831"
Apotheke Dr. Noyer,"Schauplatzgasse 7, Bern, 3011",0.321754452,9.7,8,7,9,2,,"https://www.google.com/maps?q=46.9472577,7.442915"
Bollwerk,"Bollwerk None, Bern, 3011",0.502851438,9.5,6,7,8,4,,"https://www.google.com/maps?q=46.9494172,7.4407273"
Apotheke Dr. Noyer,"Neuengasse 15, Bern, 3011",0.323071419,9.7,6,7,8,4,,"https://www.google.com/maps?q=46.9487927,7.4429172"
Christoffel-Apotheke,"Christoffelgasse None, Bern, 3011",0.464228445,9.5,6,7,10,4,,"https://www.google.com/maps?q=46.9470929,7.4410478"
Apotheke Rosli,"Eigerstrasse None, Bern, 3007",1.198294304,8.8,8,7,10,4,,"https://www.google.com/maps?q=46.939927,7.4365711"
Zytglogge Apotheke,"Bim Zytglogge 5, Bern, 3011",0.04892375,10,6,9,8,3,,"https://www.google.com/maps?q=46.9478815,7.4476189"
Sun Store,"Riedbachstrasse 8, Bern, 3027",4.860194202,5.1,8,7,7,6,,"https://www.google.com/maps?q=46.9477814,7.38316"
Coop Vitality,"Genfergasse None, Bern, 3011",0.45852429,9.5,8,7,7,6,,"https://www.google.com/maps?q=46.9493911,7.4413299"
Schermen Apotheke,"Gotenstrasse 1, Bern, 3018",3.657107185,6.3,8,8,8,4,,"https://www.google.com/maps?q=46.9442756,7.3992727"
Apotheke Dr. Noyer,"Schanzenstrasse 4a, Bern, 3008",0.718533319,9.3,7,9,10,2,,"https://www.google.com/maps?q=46.9481358,7.4375638"
Tscharnergut-Apotheke,"Fellerstrasse None, Bern, 3027",4.361833576,5.6,8,7,10,3,,"https://www.google.com/maps?q=46.9475606,7.3897091"
Hirschengraben Apotheke,"Hirschengraben None, Bern, 3011",0.692498678,9.3,8,7,8,3,,"https://www.google.com/maps?q=46.9465786,7.4381438"
Coop Vitality,"Europaplatz 1a, Bern, 3008",3.145750575,6.9,8,8,8,6,,"https://www.google.com/maps?q=46.9434892,7.4062092"
Amavita,"Spitalgasse None, Bern, 3011",0.404379554,9.6,8,6,9,6,,"https://www.google.com/maps?q=46.9477825,7.4416978"
Amavita,"Moserstrasse None, Bern, 3013",1.217710644,8.8,9,7,7,6,,"https://www.google.com/maps?q=46.9579601,7.4536569"
Coop Vitality Bern Freudenberg,"Giacomettistrasse 15, Bern, 3006",1.939610362,8.1,8,8,7,4,,"https://www.google.com/maps?q=46.9454132,7.4721955"
Westside,"Brunnen None, Bern, 3027",5.585139161,4.4,7,7,10,4,,"https://www.google.com/maps?q=46.9444154,7.373826"
Brunnen-Apotheke,"Brunnenstrasse None, Bern, 3018",4.280156818,5.7,6,9,10,2,,"https://www.google.com/maps?q=46.9414674,7.3915967"
Murifeld-Apotheke,"Thunstrasse 106, Bern, 3006",1.545302675,8.5,6,9,10,4,,"https://www.google.com/maps?q=46.9411912,7.4646953"
Dropa Apotheke Bern,"Neuengasse 41, Bern, 3011",0.431341107,9.6,7,8,9,2,,"https://www.google.com/maps?q=46.9489753,7.441516"
Medbase,"Marktgasse None, Bern, 3011",0.159122968,9.8,10,4,8,10,,"https://www.google.com/maps?q=46.9482088,7.4449322"
