name,adress,distance_km,Distance,Cost,Quality,Taste,Ambience,Links
Beaulieu,"Erlachstrasse None, Bern, 3012",1.010481617,9,6,6,8,8,"https://www.google.com/maps?q=46.9513255,7.4346467"
Zum blauen Engel,"Gesellschaftsstrasse None, Bern, 3012",1.306695759,8.7,7,6,6,8,"https://www.google.com/maps?q=46.95452,7.4327178"
Ali Baba,"Lerchenweg None, Bern, 3012",1.404366261,8.6,5,8,8,8,"https://www.google.com/maps?q=46.9539906,7.4307582"
Zebra,"Schwalbenweg None, Bern, 3012",1.829825226,8.2,6,6,8,7,"https://www.google.com/maps?q=46.9555998,7.4256783"
Kirchenfeld,"Thunstrasse 5, Bern, 3005",0.558605184,9.4,4,7,7,7,"https://www.google.com/maps?q=46.9436093,7.4505679"
Ambassador,"Thunstrasse 2, Bern, 3005",0.591386964,9.4,5,6,6,7,"https://www.google.com/maps?q=46.9432228,7.4504174"
Altes Tramdepot,"Grosser Muristalden None, Bern, 3006",0.964850537,9,5,6,6,6,"https://www.google.com/maps?q=46.9475089,7.4596534"
Muhlirad,"Nydeggtreppe None, Bern, 3011",0.801354827,9.2,6,8,8,7,"https://www.google.com/maps?q=46.948331,7.4575151"
Fischerstubli,"Gerberngasse 41, Bern, 3011",0.720231475,9.3,7,8,7,7,"https://www.google.com/maps?q=46.9471244,7.4563737"
Zahringer,"Badgasse None, Bern, 3011",0.48026102,9.5,6,7,8,8,"https://www.google.com/maps?q=46.9463221,7.4528131"
Du Nord,"Lorrainestrasse None, Bern, 3013",0.763694041,9.2,7,6,8,6,"https://www.google.com/maps?q=46.9548055,7.4456326"
UNIess,"Schanzeneckstrasse 1, Bern, 3012",0.894340269,9.1,6,8,6,6,"https://www.google.com/maps?q=46.9501111,7.4356639"
Dampfzentrale,"Marzilistrasse 47, Bern, 3005",0.852729499,9.1,6,7,6,7,"https://www.google.com/maps?q=46.940558,7.4442865"
Grosse Schanze,"Parkterrasse 10, Bern, 3012",0.671073637,9.3,5,7,6,7,"https://www.google.com/maps?q=46.949584,7.4384939"
Casa Novo,"Lauferplatz None, Bern, 3011",0.834499522,9.2,4,7,8,8,"https://www.google.com/maps?q=46.9497684,7.4576532"
Pappelapapp,"Marzilistrasse 25, Bern, 3005",0.565721614,9.4,7,6,8,8,"https://www.google.com/maps?q=46.9434176,7.4437685"
Brasserie Obstberg,"Bantigerstrasse None, Bern, 3006",1.19836287,8.8,5,7,8,8,"https://www.google.com/maps?q=46.9475053,7.4627244"
Grotto Ticino,"Herzogstrasse None, Bern, 3013",1.327768713,8.7,7,7,7,7,"https://www.google.com/maps?q=46.9586076,7.4550161"
Bivo,"Herzogstrasse 2, Bern, 3014",1.340701726,8.7,5,7,7,6,"https://www.google.com/maps?q=46.9581818,7.4564389"
ElfenauPark,"Elfenauweg 50, Bern, 3006",1.952868754,8,6,7,7,7,"https://www.google.com/maps?q=46.9367029,7.4666416"
Ristorante Pizzeria Benigni,"Jupiterstrasse 15, Bern, 3015",2.744380009,7.3,6,8,8,7,"https://www.google.com/maps?q=46.9395452,7.4808659"
Egghozli,"Weltpoststrasse 16, Bern, 3015",2.477817979,7.5,7,8,7,8,"https://www.google.com/maps?q=46.9375968,7.4757817"
