name,adress,distance_km,Distance,cleanliness,safety,waiting time,accessibility,maintainence,Link
Buhlplatz,"Buhlplatz 1a, Bern, 3012",1.283907835,8.7,9,8,7,7,8,"https://www.google.com/maps?q=46.9519386,7.4311457"
Waisenhausplatz,"Waisenhausplatz None, Bern, 3011",0.245460889,9.8,6,8,4,10,9,"https://www.google.com/maps?q=46.9489591,7.4440958"
Gerberngasse,"Gerberngasse 2, Bern, 3011",0.815949482,9.2,9,10,8,5,10,"https://www.google.com/maps?q=46.9484428,7.4576984"
Laubeggstrasse,"Altenbergrain 21, Bern, 3013",0.519525687,9.5,7,7,9,8,7,"https://www.google.com/maps?q=46.9525458,7.445417"
Laubeggstrasse,"Laubeggstrasse 9, Bern, 3006",1.177340658,8.8,7,7,8,8,7,"https://www.google.com/maps?q=46.9517961,7.4614378"
Schreiten und Gleiten,"Schreiten und Gleiten None, Bern, 3006",1.325561779,8.7,6,7,8,9,8,"https://www.google.com/maps?q=46.9443065,7.4635549"
Elfenauweg ,"Elfenauweg None, Bern, 3006",2.21732543,7.8,8,8,10,8,7,"https://www.google.com/maps?q=46.9329991,7.4661926"
Manuelstrasse,"Manuelstrasse None, Bern, 3006",2.61331305,7.4,8,8,10,9,6,"https://www.google.com/maps?q=46.9326507,7.4729955"
Mingerstrasse,"Guisanplatz None, Bern, 3006",1.832695197,8.2,9,8,7,7,8,"https://www.google.com/maps?q=46.9590432,7.4648757"
Grosser Muristalden,"Grosser Muristalden None, Bern, 3006",0.975600904,9,6,9,9,7,7,"https://www.google.com/maps?q=46.9476687,7.4598058"
Breitenrainplatz,"Breitenrainplatz 32, Bern, 3014",1.324200106,8.7,8,9,5,6,8,"https://www.google.com/maps?q=46.9586962,7.454655"
Max-Daetwyler-Platz,"Max-Daetwyler-Platz 6, Bern, 3014",2.443424949,7.6,8,10,8,7,8,"https://www.google.com/maps?q=46.9667039,7.4638593"
Langgassstrasse,"Langgassstrasse 112b, Bern, 3012",1.812233764,8.2,8,9,9,7,7,"https://www.google.com/maps?q=46.9561328,7.426368"
Altenbergrain,"Altenbergrain 21, Bern, 3013",0.641648411,9.4,7,8,9,8,7,"https://www.google.com/maps?q=46.953617,7.4450611"
