name,adress,distance_km,Distance,price level,Availability,crowd,service speed,Link
Matte-Lade,"Gerberngasse None, Bern, 3011",0.771683538,9.2,6,8,8,5,"https://www.google.com/maps?q=46.9475359,7.4571137"
ruedu,"Thunstrasse None, Bern, 3006",1.417228667,8.6,6,6,8,6,"https://www.google.com/maps?q=46.9408882,7.462449"
Restoshop,"Schosshaldenstrasse None, Bern, 3006",1.156254088,8.8,5,7,8,7,"https://www.google.com/maps?q=46.9446635,7.4613848"
Elfenau-Laden,"Brunnadernstrasse 71, Bern, 3006",2.02033491,8,6,8,9,5,"https://www.google.com/maps?q=46.9354162,7.4661446"
Migrolino,"Eggholzlistrasse 1, Bern, 3006",2.477332108,7.5,7,9,7,6,"https://www.google.com/maps?q=46.9370454,7.4753347"
Chouta Food,"Jupiterstrasse None, Bern, 3015",2.752802445,7.2,7,8,7,6,"https://www.google.com/maps?q=46.9392961,7.4808492"
Spar Express,"Papiermuhlestrasse 11, Bern, 3013",1.242123712,8.8,5,8,6,8,"https://www.google.com/maps?q=46.9547708,7.4599797"
Kiosk,"Nordring None, Bern, 3013",1.092890441,8.9,2,5,6,8,"https://www.google.com/maps?q=46.9578301,7.4471726"
Wylereggladen,"Wylerstrasse None, Bern, 3014",1.352911126,8.6,7,5,8,5,"https://www.google.com/maps?q=46.9601279,7.4484728"
ruedu,"Flurstrasse None, Bern, 3014",1.379182413,8.6,6,8,9,7,"https://www.google.com/maps?q=46.9603448,7.4487985"
Migrolino,"Langgassstrasse 54, Bern, 3012",1.505731858,8.5,7,9,8,7,"https://www.google.com/maps?q=46.95496,7.4300315"
Coop Pronto,"Standstrasse 42, Bern, 3014",1.709515983,8.3,3,6,9,9,"https://www.google.com/maps?q=46.9628776,7.4526798"
Casa Luisitania,"Lorrainestrasse None, Bern, 3013",0.78049094,9.2,7,5,6,7,"https://www.google.com/maps?q=46.9549531,7.4455806"
LOLA,"Lorrainestrasse None, Bern, 3013",1.042733326,9,6,7,6,5,"https://www.google.com/maps?q=46.9572353,7.4446062"
Denner,"Schmiedweg 3, Bern, 3013",1.130968914,8.9,10,8,9,5,"https://www.google.com/maps?q=46.9580228,7.4444536"
eni,"Holzikofenweg None, Bern, 3007",1.641231586,8.4,5,6,6,6,"https://www.google.com/maps?q=46.9370698,7.4325098"
LOLA im Mattenhof,"Brunnmattstrasse 57, Bern, 3007",1.779030053,8.2,5,5,9,6,"https://www.google.com/maps?q=46.9417183,7.4255085"
Lusolatinos,"Brunnmattstrasse None, Bern, 3007",1.669537431,8.3,7,7,8,8,"https://www.google.com/maps?q=46.9429555,7.426345"
Bo Asia,"Brunnmattstrasse None, Bern, 3007",1.659327144,8.3,7,5,8,8,"https://www.google.com/maps?q=46.9430611,7.4264327"
Quartier- und Bioladen Fischermatteli,"Weissensteinstrasse None, Bern, 3007",2.211488208,7.8,6,6,9,5,"https://www.google.com/maps?q=46.940959,7.4198333"
Denner Express,"Konizstrasse None, Bern, 3007",2.0109366,8,9,8,7,6,"https://www.google.com/maps?q=46.943993,7.4212426"
Boutique Africaine Le Baron,"Konizstrasse None, Bern, 3007",2.027505609,8,5,6,9,6,"https://www.google.com/maps?q=46.9441177,7.4209791"
Bern Shakthii Ankadi,"Schlossstrasse None, Bern, 3008",2.427672862,7.6,5,5,7,7,"https://www.google.com/maps?q=46.9440561,7.4156369"
Coop,"Bollwerk None, Bern, 3011",0.535475555,9.5,6,9,7,7,"https://www.google.com/maps?q=46.9493318,7.4402404"
Tiefenau Laden,"Tiefenaustrasse 119, Bern, 3004",2.81520658,7.2,7,6,9,7,"https://www.google.com/maps?q=46.9731055,7.451842"
Denner Bibite,"Zahringerstrasse None, Bern, 3012",1.284510599,8.7,10,8,8,6,"https://www.google.com/maps?q=46.955305,7.4339264"
Migrolino,"Baumgartenstrasse None, Bern, 3018",3.923341365,6.1,5,9,9,6,"https://www.google.com/maps?q=46.9415501,7.3963361"
Migrolino,"Bumplizstrasse 8, Bern, 3027",3.823293423,6.2,5,9,6,8,"https://www.google.com/maps?q=46.9488303,7.3967935"
Coop Pronto,"Morgenstrasse 89, Bern, 3018",4.229447079,5.8,3,4,6,7,"https://www.google.com/maps?q=46.9378929,7.3934456"
Yathra,"Bumplizstrasse None, Bern, 3027",3.853844582,6.1,4,7,6,5,"https://www.google.com/maps?q=46.9486987,7.3963879"
Q-Laden,"Quartierhof 1, Bern, 3013",1.150058058,8.8,4,7,9,5,"https://www.google.com/maps?q=46.9583403,7.4465424"
